HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20021017.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_end=2002 10 31
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.626632
0.5 6.5 10.01343
0.5 7.5 16.5132
0.5 8.5 16.960698
0.5 9.5 15.11219
0.5 10.5 13.395298
0.5 11.5 12.005444
0.5 12.5 9.273362
0.5 13.5 3.598356
0.5 14.5 1.523679
0.5 15.5 2.189968
0.5 16.5 3.78975
0.5 17.5 1.807938
0.5 20.5 -0.493926
0.5 23.5 -0.006912
0.5 25.5 -0.190662
0.5 32.5 -0.16146
0.5 33.5 -0.532195
0.5 34.5 -1.390196
0.5 35.5 -1.252104
0.5 36.5 -0.230575
0.5 45.5 1.061649
0.5 46.5 1.821256
0.5 47.5 3.007376
0.5 48.5 3.684252
0.5 49.5 3.01785
0.5 51.5 1.453666
0.5 54.5 -0.000483
1.5 5.5 2.474059
1.5 6.5 10.134978
1.5 7.5 14.68742
1.5 8.5 14.668752
1.5 9.5 13.914972
1.5 10.5 13.531686
1.5 11.5 12.32882
1.5 12.5 9.5865
1.5 13.5 4.014012
1.5 14.5 3.65345
1.5 15.5 3.084678
1.5 17.5 1.754406
1.5 20.5 -0.664222
1.5 23.5 -0.037185
1.5 27.5 1.004437
1.5 32.5 -0.056826
1.5 33.5 -0.417276
1.5 34.5 -1.37379
1.5 35.5 -1.991208
