HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20070317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.29015
0.5 5.5 -4.209258
0.5 6.5 -15.579548
0.5 7.5 -23.337072
0.5 8.5 -20.843182
0.5 9.5 -16.011074
0.5 10.5 -12.606505
0.5 11.5 -10.69486
0.5 12.5 -8.400756
0.5 13.5 -3.37986
0.5 14.5 -1.318812
0.5 15.5 -1.31054
0.5 16.5 -0.99138
0.5 23.5 -0.003888
0.5 25.5 -0.053406
0.5 31.5 -0.002718
0.5 40.5 1.531348
0.5 41.5 3.195808
0.5 42.5 4.50534
0.5 43.5 5.19064
0.5 44.5 7.12785
0.5 45.5 8.684961
0.5 46.5 9.581548
0.5 47.5 10.834742
0.5 48.5 9.975108
0.5 49.5 6.82748
0.5 51.5 3.712422
0.5 52.5 3.937852
0.5 53.5 1.010047
0.5 54.5 -0.012425
1.5 5.5 -3.765454
1.5 6.5 -14.678244
1.5 7.5 -19.589396
1.5 8.5 -17.53312
1.5 9.5 -14.78646
1.5 10.5 -13.038292
1.5 11.5 -11.301612
1.5 12.5 -8.870708
1.5 13.5 -3.828976
1.5 14.5 -3.245413
1.5 15.5 -1.909802
1.5 16.5 -0.201958
1.5 34.5 1.02212
1.5 35.5 1.680204
1.5 36.5 1.363824
1.5 39.5 -0.005127
1.5 41.5 2.536264
