HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20111102.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_start=2011 10 17
HDR time_end=2011 11 16
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 6.697988
0.5 6.5 25.391779
0.5 7.5 37.355472
0.5 8.5 31.821338
0.5 9.5 22.752704
0.5 10.5 16.379183
0.5 11.5 12.692208
0.5 12.5 9.382163
0.5 13.5 3.760521
0.5 14.5 1.559214
0.5 15.5 1.777578
0.5 16.5 1.86465
0.5 18.5 -0.01998
0.5 19.5 -0.21971
0.5 20.5 -1.219299
0.5 23.5 -0.372816
0.5 24.5 -0.68547
0.5 26.5 -0.202848
0.5 27.5 -0.710412
0.5 28.5 -0.534435
0.5 29.5 -0.366432
0.5 30.5 -0.384006
0.5 31.5 -0.394412
0.5 32.5 -0.45448
0.5 33.5 -0.541337
0.5 34.5 -1.118616
0.5 35.5 -1.101072
0.5 36.5 -0.315675
0.5 37.5 -0.020382
0.5 38.5 -0.150552
0.5 39.5 -0.45623
0.5 40.5 -1.135771
0.5 41.5 -3.429268
0.5 42.5 -6.25821
0.5 43.5 -7.91384
0.5 44.5 -10.27665
0.5 45.5 -11.114694
0.5 46.5 -10.989212
0.5 47.5 -11.577281
0.5 48.5 -10.352628
0.5 49.5 -7.109146
0.5 50.5 -0.335654
0.5 51.5 -3.913976
0.5 52.5 -3.622104
0.5 53.5 -0.510163
