HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20120102.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_start=2011 12 19
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 3.09038
0.5 6.5 11.003143
0.5 7.5 14.094432
0.5 8.5 9.42261
0.5 9.5 4.395733
0.5 10.5 1.333202
0.5 11.5 -0.093292
0.5 12.5 -0.279146
0.5 17.5 -0.006072
0.5 18.5 -0.03256
0.5 19.5 -0.13148
0.5 20.5 -0.773214
0.5 23.5 -0.340848
0.5 24.5 -0.66211
0.5 26.5 -0.21264
0.5 27.5 -0.754614
0.5 28.5 -0.568326
0.5 29.5 -0.3916
0.5 30.5 -0.418571
0.5 31.5 -0.436088
0.5 32.5 -0.46598
0.5 33.5 -0.399636
0.5 34.5 -0.342044
0.5 38.5 -0.064698
0.5 39.5 -0.38872
0.5 40.5 -0.967603
0.5 41.5 -2.443548
0.5 42.5 -3.40935
0.5 43.5 -3.08752
0.5 44.5 -2.77775
0.5 45.5 -2.143068
0.5 46.5 -1.674322
0.5 47.5 -1.622792
0.5 48.5 -1.599312
0.5 49.5 -1.461548
0.5 50.5 -0.105996
0.5 51.5 -2.045942
0.5 52.5 -3.32926
0.5 53.5 -1.035474
1.5 5.5 2.535799
1.5 6.5 9.320619
1.5 7.5 10.40414
1.5 8.5 6.880812
1.5 9.5 3.618384
1.5 10.5 1.502062
1.5 16.5 -0.058081
